symbol,timeframe,math_principle,predicted_metric,ml_model_type,model_accuracy_percent,model_size_kb
LEO-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,86.48,200.76
LEO-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,86.75,288.21
LEO-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,87.7,23.95
LEO-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,73.44,1118.12
LEO-USD,hourly,Volatility Regime,Regime State,LogisticRegression,94.83,1.72
LEO-USD,hourly,Volatility Regime,Regime State,XGBoost,94.88,494.88
LEO-USD,hourly,Volatility Regime,Regime State,LightGBM,94.88,238.17
LEO-USD,hourly,Volatility Regime,Regime State,CatBoost,94.88,31.04
LEO-USD,hourly,Topological Persistence,Regime Change,XGBoost,95.07,606.99
LEO-USD,hourly,Topological Persistence,Regime Change,LightGBM,94.97,587.21
LEO-USD,hourly,Topological Persistence,Regime Change,CatBoost,93.68,1451.72
LEO-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,86.59,1.75
LEO-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,83.19,106.81
LEO-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,83.09,150.71
LEO-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,83.62,236.05
ZEC-USD,daily,Power Law Distributions,Tail Risk,XGBoost,76.06,953.52
ZEC-USD,daily,Power Law Distributions,Tail Risk,LightGBM,74.27,586.66
ZEC-USD,daily,Power Law Distributions,Tail Risk,CatBoost,74.27,3187.97
ZEC-USD,daily,Volatility Regime,Regime State,LogisticRegression,94.04,1.72
ZEC-USD,daily,Volatility Regime,Regime State,XGBoost,94.04,113.82
ZEC-USD,daily,Volatility Regime,Regime State,LightGBM,94.04,67.02
ZEC-USD,daily,Volatility Regime,Regime State,CatBoost,94.04,87.33
ZEC-USD,daily,Topological Persistence,Regime Change,XGBoost,94.04,381.8
ZEC-USD,daily,Topological Persistence,Regime Change,LightGBM,95.47,653.54
ZEC-USD,daily,Topological Persistence,Regime Change,CatBoost,93.6,2901.75
ZEC-USD,daily,Complex Systems Emergence,Regime Emergence,LogisticRegression,88.0,1.75
ZEC-USD,daily,Complex Systems Emergence,Regime Emergence,XGBoost,86.33,76.92
ZEC-USD,daily,Complex Systems Emergence,Regime Emergence,LightGBM,86.33,483.66
ZEC-USD,daily,Complex Systems Emergence,Regime Emergence,CatBoost,86.67,64.26
ZEC-USD,hourly,Power Law Distributions,Tail Risk,XGBoost,75.31,1173.51
ZEC-USD,hourly,Volatility Regime,Regime State,LogisticRegression,92.24,1.72
ZEC-USD,hourly,Volatility Regime,Regime State,XGBoost,92.24,194.9
ZEC-USD,hourly,Volatility Regime,Regime State,LightGBM,92.24,243.46
ZEC-USD,hourly,Volatility Regime,Regime State,CatBoost,92.24,348.04
ZEC-USD,hourly,Topological Persistence,Regime Change,XGBoost,92.43,762.89
ZEC-USD,hourly,Topological Persistence,Regime Change,LightGBM,92.62,663.81
ZEC-USD,hourly,Topological Persistence,Regime Change,CatBoost,90.57,2834.91
ZEC-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,85.39,1.75
ZEC-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,84.82,170.71
ZEC-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,84.67,170.44
ZEC-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,85.54,57.42
CC-USD,hourly,Volatility Regime,Regime State,LogisticRegression,93.88,1.72
CC-USD,hourly,Volatility Regime,Regime State,XGBoost,94.0,85.46
CC-USD,hourly,Volatility Regime,Regime State,LightGBM,94.0,184.96
CC-USD,hourly,Volatility Regime,Regime State,CatBoost,93.88,14.89
CC-USD,hourly,Topological Persistence,Regime Change,XGBoost,94.24,425.38
CC-USD,hourly,Topological Persistence,Regime Change,LightGBM,95.2,47.4
CC-USD,hourly,Topological Persistence,Regime Change,CatBoost,92.33,2425.11
CC-USD,hourly,Complex Systems Emergence,Regime Emergence,LogisticRegression,87.77,1.75
CC-USD,hourly,Complex Systems Emergence,Regime Emergence,XGBoost,83.33,61.34
CC-USD,hourly,Complex Systems Emergence,Regime Emergence,LightGBM,84.05,526.94
CC-USD,hourly,Complex Systems Emergence,Regime Emergence,CatBoost,85.25,2116.01
